X,Y,OBJECTID,BearID,ReportDate,SubType,RoadDate,Region,BMU,County,Locale,ZipCode,Latitude,Longitude,OrigCap,Sex,AgeClass,Weight,Age,Cubs,Yearlings,LEarTag1,LEarTag2,REarTag1,REarTag2,Tattoo1,Tattoo2,TrackNum,last_edited_date
547039.8213,695531.9031,44843,Bear-0000008794,2007/03/31 00:00:00+00,Carcass,2007/03/31 00:00:00+00,North Central,North,Columbia,OTHER,32072,30.25891,-82.47019, ,Male,Adult,350,3, , , , , , ,None,0, ,
548176.807999998,695316.2949,44844,Bear-0000009257,2014/08/30 00:00:00+00,Carcass,2014/08/30 00:00:00+00,North Central,North,Baker,OTHER,0,30.25684,-82.45839, ,Male,Juvenile,72,1, , , , , , , ,0,58120,
548619.308200002,730070.0271,44845,Bear-0000008719,2005/10/09 00:00:00+00,Carcass,2005/10/07 00:00:00+00,North Central,North,Baker,OTHER,0,30.56992,-82.44924, ,Female,Juvenile,68,1, , , , , , , ,0, ,
549874.0933,695160.9247,44846,Bear-0000009193,2013/07/09 00:00:00+00,Carcass,2013/07/09 00:00:00+00,North Central,North,Baker, ,0,30.255248,-82.440754, ,Male,Juvenile,195,2, , , , , , , ,0,49818,
550500.594799999,689493.6902,44847,Bear-0000017197,2015/12/11 00:00:00+00,Carcass,2015/12/04 00:00:00+00,North Central,North,Baker, ,32087,30.204121,-82.434985, ,Male,Adult,300,0, , , , , , , ,0, ,
550700.4443,695114.1269,44848,Bear-0000007603,2012/12/02 00:00:00+00,Carcass,2012/12/02 00:00:00+00,North Central,North,Baker,OTHER,32087,30.254732,-82.432164, ,Male,Adult,350,7, , , , , , , ,0,46821,
551155.134500001,695034.003,44849,Bear-0000021047,2022/05/08 00:00:00+00,Carcass,2022/05/08 00:00:00+00,North Central,North,Baker, ,32087,30.253958,-82.4274447,Yes,Male,Adult,300,3, , , , , , , ,0, ,
551928.967500001,668327.8602,44850,Bear-0000009185,2013/03/27 00:00:00+00,Carcass,2013/03/27 00:00:00+00,North Central,North,Union,OTHER,0,30.01329,-82.422948, ,Male,Adult,390,5, , , , , , , ,0,49307,
551727.918699998,701911.2026,44851,Bear-0000011448,1995/11/18 00:00:00+00,Carcass,1995/11/18 00:00:00+00,North Central,North,Baker, ,0,30.31585,-82.42057, ,Male,Adult,315,0,0,0, , , , , ,0, ,
555206.988899998,506237.8843,44852,Bear-0000010582,1976/12/28 00:00:00+00,Carcass,1976/12/28 00:00:00+00,Southwest,Big Bend,Hernando, ,34601,28.55325,-82.41061, ,Male,Adult,240,5,0,0, , , , , ,0, ,
552904.137499999,695040.0093,44853,Bear-0000008728,2004/11/02 00:00:00+00,Carcass,2005/11/02 00:00:00+00,North Central,North,Baker,OTHER,0,30.25381,-82.40925, ,Female,Adult,200,0, , , , , , , ,0, ,
553067.304400001,695059.8754,44854,Bear-0000007660,2003/09/25 00:00:00+00,Carcass,2003/09/24 00:00:00+00,North Central,North,Baker,OTHER,0,30.25397,-82.40755, ,Male,Adult,0,4, , , , , , , ,0, ,
553378.1928,689902.2012,44855,Bear-0000007827,2010/08/20 00:00:00+00,Carcass,2010/08/20 00:00:00+00,North Central,North,Baker,OTHER,32056,30.207469,-82.40501, ,Male,Adult,135,3, , , , , , , ,0, ,
556129.147700001,510211.4917,44856,Bear-0000010596,1980/11/05 00:00:00+00,Carcass,1980/11/05 00:00:00+00,Southwest,Big Bend,Hernando, ,0,28.58892,-82.40064, ,Female,Adult,166,9,0,0, , , , , ,0, ,
554083.340300001,690109.0403,44857,Bear-0000021231,2022/10/03 00:00:00+00,Carcass,2022/10/03 00:00:00+00,North Central,North,Baker, ,32087,30.20925,-82.39765,Yes,Male,Juvenile,225,2, , , , , , , ,0, ,
554243.118799999,699480.6672,44858,Bear-0000009060,2011/12/30 00:00:00+00,Carcass,2011/12/30 00:00:00+00,North Central,North,Baker,OTHER,0,30.29366,-82.39472, ,Female,Juvenile,100,2, , , , , , , ,0,40236,
554889.9111,695096.5628,44859,Bear-0000021048,2022/04/29 00:00:00+00,Carcass,2022/04/29 00:00:00+00,North Central,North,Baker, ,32087,30.2540872,-82.3885855,Yes,Female,Juvenile,90,0, , , , , , , ,0, ,
555785.108100001,690730.6943,44860,Bear-0000013050,2008/11/24 00:00:00+00,Carcass,2008/11/24 00:00:00+00,North Central,North,Baker,OTHER,0,30.21465,-82.37987, ,Male,Juvenile,85,1,0,0, , , , , ,0, ,
556089.573100001,728551.6087,44861,Bear-0000011992,1999/10/13 00:00:00+00,Carcass,1999/10/13 00:00:00+00,North Central,North,Baker, ,0,30.55537,-82.37151, ,Male,Adult,150,5,0,0, , , , , ,0, ,
556507.096500002,701520.5171,44862,Bear-0000016720,2014/01/05 00:00:00+00,Carcass,2014/01/05 00:00:00+00,North Central,North,Baker,OTHER,0,30.31177,-82.37088, ,Male,Cub,61,0.92, , , , , , , ,0,54647,
557150.091800001,695148.7149,44863,Bear-0000009179,2013/05/07 00:00:00+00,Carcass,2013/05/08 00:00:00+00,North Central,North,Baker,OTHER,0,30.254289,-82.365067, ,Male,Adult,140,3, , , , , , , ,0,48582,
558423.0484,664924.2035,44864,Bear-0000007533,2012/06/12 00:00:00+00,Carcass,2012/06/12 00:00:00+00,North Central,North,Union,OTHER,0,29.981867,-82.356017, ,Male,Juvenile,115,1, , , , , , , ,0,41908,
