X,Y,OBJECTID,IncidentID,ReportDate,CapDate,Region,BMU,County,Locale,City,ZipCode,Latitude,Longitude,CapReason,OCapReason,NCapReason,CapMethod,OrigCap,FinAction,OFinAction,Sex,AgeClass,Weight,Age,Cubs,Yearlings,LEarTag1,LEarTag2,REarTag1,REarTag2,Tattoo1,Tattoo2,TrackNum,last_edited_date
154474.540800001,728729.7899,19239,,1994/11/07 00:00:00+00,1994/11/07 00:00:00+00,Northwest,West Panhandle,Okaloosa, , ,0,30.543284,-86.561398,Research, , ,Snare,Yes, , ,Male,Adult,160,5.5,0,0,1, ,1, ,1,0, ,
154449.3015,727708.7251,19240,,1994/11/07 00:00:00+00,1994/11/08 00:00:00+00,Northwest,West Panhandle,Okaloosa, , ,0,30.53408,-86.56144,Research, , ,Snare,Yes, , ,Male,Juvenile,100,2.5,0,0,2, ,2, ,2,0, ,
157162.104699999,730286.2089,19241,,1994/11/07 00:00:00+00,1995/06/13 00:00:00+00,Northwest,West Panhandle,Okaloosa, , ,0,30.557807,-86.533702,Research, , ,Snare,Yes, , ,Male,Adult,120,5.5,0,0,12, ,12, ,12,0, ,
156329.273200002,729755.8272,19242,,1994/11/07 00:00:00+00,1994/11/21 00:00:00+00,Northwest,West Panhandle,Okaloosa, , ,0,30.552874,-86.542275,Research, , ,Snare,No, , ,Male,Cub,0,2.5,0,0,3, ,3, , ,0, ,
156329.273200002,729755.8272,19243,,1994/11/07 00:00:00+00,1994/12/03 00:00:00+00,Northwest,West Panhandle,Okaloosa, , ,0,30.552874,-86.542275,Research, , ,Snare,Yes, , ,Male,Juvenile,130,2.5,0,0,4, ,4, ,4,0, ,
153450.685699999,743158.1059,19244,,1994/11/07 00:00:00+00,1995/06/24 00:00:00+00,Northwest,West Panhandle,Okaloosa, , ,0,30.67309,-86.575219,Research, , ,Snare,No, , ,Male,Juvenile,0,2.5,0,0,13, ,13, ,13,0, ,
156574.104400001,729549.441,19245,,1994/11/07 00:00:00+00,1995/06/24 00:00:00+00,Northwest,West Panhandle,Okaloosa, , ,0,30.55106,-86.539677,Research, , ,Snare,Yes, , ,Male,Adult,340,10.5,0,0,14, ,14, ,14,0, ,
155860.460499998,728986.1106,19246,,1994/11/07 00:00:00+00,1995/06/13 00:00:00+00,Northwest,West Panhandle,Okaloosa, , ,0,30.545852,-86.546999,Research, , ,Snare,No, , ,Female,Juvenile,0,2.5,0,0,19, ,19, ,19,0, ,
155940.295600001,730196.1697,19247,,1994/11/07 00:00:00+00,1995/06/16 00:00:00+00,Northwest,West Panhandle,Okaloosa, , ,0,30.556769,-86.546427,Research, , ,Snare,No, , ,Female,Juvenile,0,2.5,0,0,19, ,19, ,19,0, ,
153466.825399999,743408.1473,19248,,1994/11/07 00:00:00+00,1995/06/19 00:00:00+00,Northwest,West Panhandle,Okaloosa, , ,0,30.675346,-86.575105,Research, , ,Snare,Yes, , ,Male,Juvenile,110,2.5,0,0,13, ,13, ,13,0, ,
155860.460499998,728986.1106,19249,,1994/11/07 00:00:00+00,1995/06/20 00:00:00+00,Northwest,West Panhandle,Okaloosa, , ,0,30.545852,-86.546999,Research, , ,Snare,Yes, , ,Female,Juvenile,95,2.5,0,0,20, ,20, ,20,0, ,
157004.105900001,730770.8286,19250,,1994/11/07 00:00:00+00,1995/06/23 00:00:00+00,Northwest,West Panhandle,Okaloosa, , ,0,30.562144,-86.535454,Research, , ,Snare,No, , ,Male,Adult,200,6.5,0,0, , , , ,1,0, ,
