OBJECTID,BMU_Name,Shape_Area,Shape_Length,last_edited_date
1,South Central,34349978996.2602,1285397.59964215,
2,West Panhandle,11731540219.3418,633433.648467843,
3,East Panhandle,23967511574.315,1181834.77208249,
4,North,11322278036.2723,724211.301013046,
5,Big Bend,12170435625.9067,945846.047407096,
6,Central,29105832647.3345,990698.673822406,
7,South,28850464074.5192,1738069.80333285,
